Name,Gene_ID,GenomeBuild,Chr,Accession,overallMeanByCpGacross50data,CoefficientHannum
cg00000292,487,36,16,NM_173201.2,0.669272816,NA
cg00002426,7871,36,3,NM_007159.2,0.482276607,NA
cg00003994,4223,36,7,NM_005924.3,0.077068758,NA
cg00004667,NA,NA,NA,NA,NA,NA
cg00005847,3232,36,2,NM_006898.4,0.294052561,NA
cg00006414,57541,36,7,NM_020781.2,0.0672842,NA
cg00007981,24145,36,11,NM_015368.3,0.051144475,NA
cg00008493,341947,36,14,NM_182971.1,0.949716639,NA
cg00008713,3613,36,18,NM_014214.1,0.041190737,NA
cg00009407,123016,36,14,NM_198309.2,0.03708427,NA
cg00010193,401114,36,4,NM_207489.1,0.609790159,NA
cg00011459,5373,36,16,NM_000303.1,0.85028981,NA
cg00012199,6038,36,14,NM_194430.1,0.031917922,NA
cg00012386,116841,36,1,NM_053052.2,0.038542757,NA
cg00012792,81567,36,6,NM_030810.2,0.046420443,NA
cg00013618,3535,36,22,,0.833091887,NA
cg00014085,54884,36,2,NM_017750.2,0.043171455,NA
cg00014837,84519,36,12,NM_032489.2,0.816968551,NA
cg00015770,84109,36,4,NM_198179.1,0.134624593,NA
cg00016968,389,36,1,NM_175744.3,0.652336552,NA
cg00019495,84525,36,4,NM_032495.4,0.244765264,NA
cg00020533,7287,36,6,NM_003322.2,0.869936174,NA
cg00021527,8148,36,17,NM_003487.2,0.034540492,NA
cg00022606,128637,36,20,NM_144628.1,0.054758927,NA
cg00022866,283234,36,11,NM_032251.3,0.578278052,NA
cg00024396,60481,36,6,NM_021814.3,0.067190249,NA
cg00024812,51692,36,2,NM_016207.2,0.044301649,NA
cg00025138,4293,36,14,NM_033141.2,0.02780876,NA
cg00025991,22982,36,10,NM_014974.1,0.550014968,NA
cg00027083,23136,36,18,NM_012307.2,0.10505958,NA
cg00027674,23682,36,11,NM_022337.1,0.153445778,NA
cg00029826,57820,36,14,NM_021178.2,0.11660862,NA
cg00029931,6173,36,X,NM_021029.3,0.187095655,NA
cg00030047,148646,36,1,NM_173795.2,0.36499749,NA
cg00031162,407977,36,17,NM_172089.2,0.505286046,NA
cg00032227,26151,36,17,NM_015654.3,0.02430192,NA
cg00032666,10046,36,X,NM_005491.1,0.681752123,NA
cg00033516,51274,36,4,NM_016531.3,0.053552838,NA
cg00033773,84292,36,19,NM_032332.2,0.838786291,NA
cg00034039,138241,36,9,NM_182505.3,0.07798818,NA
cg00035347,22978,36,10,NM_012229.2,0.450596945,NA
cg00035623,27338,36,19,NM_014501.1,0.088001211,NA
cg00037763,26040,36,18,NM_015559.1,0.867785826,NA
cg00037940,5291,36,3,NM_006219.1,0.869848258,NA
cg00040861,51690,36,19,NM_016199.1,0.036713872,NA
cg00040873,4716,36,16,NM_004548.1,0.156706667,NA
cg00041575,10077,36,11,NM_139022.2,0.458311606,NA
cg00042156,84856,36,10,NM_032770.3,0.71148374,NA
cg00043004,124056,36,16,NM_144603.2,0.121262555,NA
cg00043080,23646,36,19,NM_012268.1,0.872037443,NA
cg00044245,2045,36,6,NM_004440.2,0.077826143,NA
cg00044729,150350,36,22,NM_152512.3,0.739591652,NA
cg00047050,8065,36,11,NM_003478.3,0.083915437,NA
cg00047469,257169,36,9,NM_152786.1,0.049036084,NA
cg00049986,55012,36,14,NM_017917.2,0.181001266,NA
cg00050312,5578,36,17,NM_002737.2,0.034717004,NA
cg00051623,834,36,11,NM_033294.2,0.826451084,NA
cg00051979,118924,36,10,NM_203440.2,0.078182999,NA
cg00053292,51204,36,17,NM_016360.2,0.058385483,NA
cg00053647,221960,36,7,NM_198097.1,0.063308526,NA
cg00054706,10438,36,2,NM_006333.2,0.039246979,NA
cg00055233,6013,36,9,NM_006911.2,0.323530428,NA
cg00056767,144811,36,13,NM_153218.1,0.05411637,NA
cg00057593,2765,36,8,NM_002066.1,0.663523403,NA
cg00058938,148014,36,19,NM_152479.3,0.341505511,NA
cg00059225,2741,36,5,NM_000171.1,0.290960529,NA
cg00059424,23481,36,22,NM_014303.2,0.041650451,NA
cg00059740,78996,36,7,NM_024033.1,0.031100248,NA
cg00059930,5925,36,13,NT_024524.13,0.709271997,NA
cg00060762,123169,36,15,NM_138792.2,0.045707226,NA
cg00060882,1968,36,X,NM_001415.2,0.2149866,NA
cg00061059,9524,36,19,NM_138501.4,0.08727725,NA
cg00061629,60529,36,11,NT_009237.17,0.275925556,NA
cg00062776,7288,36,19,NM_003323.1,0.94423185,NA
cg00063144,3881,36,17,NM_002277.2,0.842378505,NA
cg00065385,10881,36,9,NM_006687.2,0.899617709,NA
cg00065408,784,36,12,NM_000725.2,0.046545685,NA
cg00066153,56,36,11,NM_020069.3,0.868352465,NA
cg00066816,3593,36,5,NM_002187.2,0.259428713,NA
cg00067471,513,36,19,NM_001687.4,0.150433465,NA
cg00069261,1039,36,16,NM_001802.1,0.067818246,NA
cg00071250,356,36,1,NM_000639.1,0.682032016,NA
cg00071998,4439,36,6,NM_002441.2,0.052716279,NA
cg00072216,10608,36,4,NM_006454.2,0.029617673,NA
cg00073460,NA,NA,NA,NA,NA,NA
cg00073650,51693,36,16,NM_016209.1,0.66046096,NA
